x,phylo_names,body_region,ecology,mean_roughness,mean_peak,sd_roughness,sd_peak
77,Astylosternus_batesi,DA,terrestrial_torrent,2.071850605,10.612057,0.481362034,5.082016341
78,Astylosternus_batesi,DP,terrestrial_torrent,1.208447583,6.138250817,0.317634575,2.41164744
79,Astylosternus_batesi,VA,terrestrial_torrent,1.744676664,8.876362333,0.517015388,2.56167444
80,Astylosternus_batesi,VP,terrestrial_torrent,3.003283615,20.27116067,2.000402182,14.89143433
81,Atelognathus_patagonicus,DA,semiaquatic,1.968867874,8.941307693,0.763326293,2.4664967
82,Atelognathus_patagonicus,DP,semiaquatic,1.747352547,7.808683708,0.684107859,1.66698802
83,Atelognathus_patagonicus,VA,semiaquatic,2.028137668,9.5784755,0.509723307,3.300200073
84,Atelognathus_patagonicus,VP,semiaquatic,2.675401001,13.22388825,0.615030147,3.912919388
85,Atelopus_ignescens,DA,terrestrial_torrent,1.936467599,10.1606855,0.510983801,1.196627353
86,Atelopus_ignescens,DP,terrestrial_torrent,6.467853905,27.458689,2.790138163,7.891853794
87,Atelopus_ignescens,VA,terrestrial_torrent,4.695877815,20.48287789,1.715455355,7.076716611
88,Atelopus_ignescens,VP,terrestrial_torrent,5.260120182,21.13611022,1.129002756,6.225902404
89,Atelopus_spumarius,VA,terrestrial_torrent,6.018439251,22.21756,1.18875444,5.65880697
90,Atelopus_spumarius,VP,terrestrial_torrent,4.496353169,14.54809533,1.31651265,2.848909961
91,Atelopus_varius,DA,terrestrial_torrent,1.534604583,7.610853333,0.965881204,2.590553733
92,Atelopus_varius,DP,terrestrial_torrent,NA,8.385503333,NA,1.500777051
93,Atelopus_varius,VA,terrestrial_torrent,5.359102204,22.455901,0.618877762,4.752700005
94,Atelopus_varius,VP,terrestrial_torrent,1.566844203,NA,0.385137389,NA
95,Atelopus_zeteki,DA,terrestrial_torrent,3.274207404,16.56227345,2.243929585,11.26210239
96,Atelopus_zeteki,DP,terrestrial_torrent,2.204009321,10.90752302,0.834815336,3.819163921
97,Atelopus_zeteki,VA,terrestrial_torrent,3.02930899,12.89303022,2.315326811,7.266306921
98,Atelopus_zeteki,VP,terrestrial_torrent,2.332024771,12.48409711,0.491944816,4.160979991
99,Austrochaperina_guttata,DA,terrestrial_leaflitter,2.967843657,11.03781275,1.912523451,5.967312424
100,Austrochaperina_guttata,DP,terrestrial_leaflitter,2.389029975,11.33855553,0.932433569,4.336393165
101,Austrochaperina_guttata,VA,terrestrial_leaflitter,2.220166855,11.59352844,0.318973846,2.925698313
102,Austrochaperina_guttata,VP,terrestrial_leaflitter,2.491841034,11.28296633,0.480043922,2.868044379
103,Barbourula_busuangensis,DA,aquatic,4.504653324,17.39415417,1.4481399,3.281691561
104,Barbourula_busuangensis,DP,aquatic,1.721574965,8.994621502,0.610045213,2.534177311
105,Barbourula_busuangensis,VA,aquatic,2.139840054,8.945646167,1.122065148,2.062731781
106,Barbourula_busuangensis,VP,aquatic,2.051875306,9.649377982,0.747273966,2.661507754
107,Batrachyla_antartandica,DA,arboreal,3.169784234,14.611275,0.765781961,11.54197892
108,Batrachyla_antartandica,DP,arboreal,1.421608689,7.449332267,0.957434714,4.768063051
109,Batrachyla_antartandica,VA,arboreal,1.77392315,7.750041,1.481566357,3.36375381
110,Batrachyla_antartandica,VP,arboreal,2.631878614,10.15145533,0.48469193,3.959379565
111,Batrachyla_taeniata,DA,terrestrial_leaflitter,1.223873554,6.73592505,0.326582812,2.32737081
112,Batrachyla_taeniata,DP,terrestrial_leaflitter,1.717797276,8.653210609,0.788784477,4.801686005
113,Batrachyla_taeniata,VA,terrestrial_leaflitter,1.504160326,7.398147025,0.799960549,3.368904109
114,Batrachyla_taeniata,VP,terrestrial_leaflitter,2.220362035,11.30986198,1.015668249,4.935682162
115,Cornufer_vertebralis,DP,terrestrial_leaflitter,2.617236718,11.04493367,1.543699341,6.392059229
116,Cornufer_vertebralis,VP,terrestrial_leaflitter,1.385071558,8.220911333,0.131240377,1.168032588
117,Bombina_bombina,DA,semiaquatic,2.053526793,10.67278067,0.498124329,4.551852599
118,Bombina_bombina,DP,semiaquatic,5.576612964,24.033214,2.6161007,7.712516083
119,Bombina_bombina,VA,semiaquatic,2.613767431,13.35596067,0.878728442,6.093600966
120,Bombina_bombina,VP,semiaquatic,2.310216389,9.431644667,0.24039657,1.287576146
121,Bombina_orientalis,DA,semiaquatic,7.824798361,37.983653,3.925650246,12.0770687
122,Bombina_orientalis,DP,semiaquatic,9.784002118,46.17136033,4.149095821,25.61432745
123,Bombina_orientalis,VA,semiaquatic,3.348562028,10.76770933,1.279727894,4.324469648
124,Bombina_orientalis,VP,semiaquatic,2.371110875,9.882237333,0.720410008,3.562517045
125,Bombina_variegata,DA,semiaquatic,3.871335086,17.51514033,0.896838431,5.802952078
126,Bombina_variegata,DP,semiaquatic,6.941267445,32.19646233,1.058731084,7.137180837
127,Bombina_variegata,VA,semiaquatic,6.615750807,41.920437,2.654202429,23.66970383
128,Bombina_variegata,VP,semiaquatic,5.649442426,22.06394267,1.608648559,4.230946877
129,Boophis_madagascariensis,DA,arboreal,1.974969292,7.829024333,0.875533261,2.694058312
130,Boophis_madagascariensis,DP,arboreal,1.550783022,6.435390334,0.306651777,1.785504278
131,Boophis_madagascariensis,VA,arboreal,6.622878902,27.29778867,1.236533021,9.323573355
132,Boophis_madagascariensis,VP,arboreal,5.416628868,24.61767483,0.783483219,10.10512501
133,Bromeliohyla_bromeliacia,DA,arboreal,1.571961983,8.311372341,0.73385519,3.789311616
134,Bromeliohyla_bromeliacia,DP,arboreal,1.886744994,8.156236916,0.525609164,1.348956879
135,Bromeliohyla_bromeliacia,VA,arboreal,6.257166186,26.95486467,1.016350489,5.737189658
136,Bromeliohyla_bromeliacia,VP,arboreal,7.023221511,30.74294359,0.949435598,10.38893862
137,Anaxyrus_americanus,DA,terrestrial_burrower,4.173914416,19.434402,1.992448605,4.226020541
138,Anaxyrus_americanus,DP,terrestrial_burrower,6.411708745,25.63520867,1.16905899,11.35822872
139,Anaxyrus_americanus,VA,terrestrial_burrower,5.929721178,29.62729033,1.793777526,10.24107604
140,Anaxyrus_americanus,VP,terrestrial_burrower,5.63467234,29.048558,1.651926401,4.382178477
141,Phrynoidis_asper,DA,terrestrial_torrent,7.13242172,27.60864567,0.948734606,1.423806215
142,Phrynoidis_asper,DP,terrestrial_torrent,6.886870961,28.43166633,0.786375652,6.452500122
143,Phrynoidis_asper,VA,terrestrial_torrent,8.599390004,33.96918667,1.276921214,5.241645457
144,Phrynoidis_asper,VP,terrestrial_torrent,8.008824151,43.43049467,1.318353255,3.99125437
145,Epidalea_calamita,DA,terrestrial_burrower,3.554283037,17.15943033,1.088316222,6.19071399
146,Epidalea_calamita,DP,terrestrial_burrower,4.979283114,20.89121922,1.809945879,4.687219186
147,Epidalea_calamita,VA,terrestrial_burrower,5.048849441,26.81008122,2.504149103,14.44883132
148,Epidalea_calamita,VP,terrestrial_burrower,5.399091918,23.16077133,1.367946815,4.289095626
149,Incilius_coccifer,DA,terrestrial_leaflitter,10.22908762,38.91146533,9.09620471,15.62714097
150,Incilius_coccifer,DP,terrestrial_leaflitter,3.906712797,19.456748,2.267726431,3.365409443
151,Incilius_coccifer,VA,terrestrial_leaflitter,8.17379501,53.78267033,1.916067108,20.78226987
152,Incilius_coccifer,VP,terrestrial_leaflitter,4.803350617,18.37194367,0.240854426,0.632008895
153,Incilius_coniferus,DA,terrestrial_leaflitter,7.065643601,33.95123875,1.316103289,8.278609262
154,Incilius_coniferus,DP,terrestrial_leaflitter,7.000867244,34.6590015,2.195736978,10.3718543
155,Incilius_coniferus,VA,terrestrial_leaflitter,10.41256237,38.4327295,3.530853096,11.99775085
156,Incilius_coniferus,VP,terrestrial_leaflitter,8.668586774,33.72627333,1.142419137,5.63854918
